అంక	amka	1
అంక	anka	3
అంకం	amkam	1
అంకం	ankam	2
అంగీకరించ	amgiikarimcha	1
అంగీకరించ	angeekarincha	2
అంగీకరించడం	angeekarinchadam	1
అంగీకరించడం	angikarinchadam	3
అంగీకరించడానికి	angeekarinchadaniki	2
అంగీకరించడానికి	angikarinchadaniki	1
అంగీకరించని	angeekarinchani	2
అంగీకరించని	angikarinchani	1
అంగీకరించారు	angeekarinchaaru	1
అంగీకరించారు	angeekarincharu	1
అంగీకరించారు	angikarinchaaru	2
అంగీకరించింది	angeekarinchidi	1
అంగీకరించింది	angeekarinchindhi	1
అంగీకరించింది	angikarinchindi	1
అంటరాని	antaraani	3
అంతం	anatham	1
అంతం	antam	1
అంతం	antham	1
అంతము	antamu	2
అంతము	anthamu	3
