అంకిత	amkita	0.2
అంకిత	ankita	0.4
అంకిత	ankitha	0.4
అంకితం	ankitam	0.333
అంకితం	ankitham	0.667
అంకితభావం	ankitabaavam	0.333
అంకితభావం	ankithabhavam	0.667
అంకితమిచ్చాడు	ankatamicchaadu	0.167
అంకితమిచ్చాడు	ankitamicchadu	0.167
అంకితమిచ్చాడు	ankitamichhaadu	0.333
అంకితమిచ్చాడు	ankithamicchaadu	0.167
అంకితమిచ్చాడు	ankithamichhaadu	0.167
అంకితమిచ్చారు	amkithamichaaru	0.333
అంకితమిచ్చారు	ankithamichaaru	0.333
అంకితమిచ్చారు	ankithamicharu	0.333
అంకితమైన	ankithamaina	1.0
అంకుశం	ankusham	1.0
అంకెలు	amkelu	0.25
అంకెలు	amkeylu	0.25
అంకెలు	ankelu	0.5
అంగ	anga	1.0
అంగం	angam	1.0
అంగడి	amgadi	0.333
అంగడి	angadi	0.667
అంగదుడు	angadhudu	0.333
అంగదుడు	angadudu	0.667
అంగరంగ	angaranga	1.0
అంగరక్షకులు	amgarakshakulu	0.333
అంగరక్షకులు	angarakshakulu	0.667
అంగవైకల్యం	angavaikalyam	1.0
అంగారక	angaaraka	0.667
అంగారక	angaraka	0.333
అంగాల	angaala	1.0
అంగీకరించదు	angeekarinchadu	0.333
అంగీకరించదు	angikarinchadu	0.667
అంగీకరించలేదు	aangeekarinchaleedu	0.333
అంగీకరించలేదు	angeekarinchaledhu	0.333
అంగీకరించలేదు	angeekarinchaledu	0.333
అంగీకరిస్తాడు	amgiikaristaadu	0.25
అంగీకరిస్తాడు	angeekaristaadu	0.25
అంగీకరిస్తాడు	angiikaristaadu	0.25
అంగీకరిస్తాడు	angikaristaadu	0.25
అంగీకరిస్తారు	amgiikaristhaaru	0.333
అంగీకరిస్తారు	angeekaristaaru	0.333
అంగీకరిస్తారు	angikaristaaru	0.333
అంగీకరిస్తుంది	amgiikaristhumdi	0.333
అంగీకరిస్తుంది	angeekaristundi	0.333
అంగీకరిస్తుంది	angekaristundhi	0.333
అంగీకార	angeekara	0.333
అంగీకార	angiikaara	0.333
అంగీకార	angikaara	0.333
అంగీకారం	amgiikaaram	0.333
అంగీకారం	angeekaaram	0.333
అంగీకారం	angiikaaram	0.333
అంగీకారంతో	amgiikaaramthoo	0.333
అంగీకారంతో	angiikaaramtoe	0.333
అంగీకారంతో	angikaaramto	0.333
అంగీరస	amgiirasa	0.333
అంగీరస	angirasa	0.667
అంగుళం	amgulham	0.333
అంగుళం	angulam	0.667
అంగుళాల	angulaala	0.5
అంగుళాల	angulala	0.25
అంగుళాల	angulhaala	0.25
అంచనా	anchanaa	1.0
అంచనాల	amchanaala	0.333
అంచనాల	anchanaala	0.333
అంచనాల	anchanala	0.333
అంచనాలతో	anchanaalato	0.333
అంచనాలతో	anchanalato	0.667
అంచనాలను	ancanalanu	0.333
అంచనాలను	anchanaalanu	0.333
అంచనాలను	anchanalanu	0.333
అంచనాలు	anchanaalu	0.5
అంచనాలు	anchanalu	0.5
అంచు	amchu	0.333
అంచు	anchu	0.667
అంచున	anchuna	1.0
అంచుని	anchuni	1.0
అంచుల	anchula	1.0
అంచులలో	anchulalo	0.667
అంచులలో	anchulaloo	0.333
అంచులు	anchulu	1.0
అంచెల	anchela	1.0
అంచెలంచెలుగా	anchelanchalugaa	0.333
అంచెలంచెలుగా	anchelanchelugaa	0.667
అంచేత	ancheetha	0.333
అంచేత	ancheta	0.667
అంజయ్య	anjayya	1.0
అంజలి	anjali	1.0
అంజలీదేవి	anjaleedhevi	0.333
అంజలీదేవి	anjalidevi	0.667
అంజి	anji	1.0
అంజిరెడ్డి	anjireddi	0.25
అంజిరెడ్డి	anjireddy	0.75
అంజు	amju	0.333
అంజు	anju	0.667
అంటకుండా	antakunda	0.333
అంటకుండా	antakundaa	0.667
అంటదు	amtadu	0.333
అంటదు	antadhu	0.667
అంటరానితనం	amtaraanitanam	0.333
అంటరానితనం	antaraanitanam	0.333
అంటరానితనం	antaraanithanam	0.333
అంటాం	antaam	0.333
అంటాం	antam	0.333
అంటాం	atom	0.333
అంటాడు	antaadu	0.667
అంటాడు	antadu	0.333
అంటారాయన	amtaaraayana	0.333
అంటారాయన	antaaraayana	0.667
అంటారు	antaaru	1.0
అంటార్కిటిక్	aantaarctic	0.125
అంటార్కిటిక్	antaarkitik	0.125
అంటార్కిటిక్	antarcitic	0.25
అంటార్కిటిక్	antarctic	0.25
అంటార్కిటిక్	antarkitik	0.125
అంటార్కిటిక్	antarktik	0.125
అంటు	antu	1.0
అంటుంటాడు	antumtaadu	0.333
అంటుంటాడు	antuntaadu	0.667
అంటుంటారు	antuntaaru	0.667
అంటుంటారు	antuntaru	0.333
అంటుంది	antundhi	0.333
అంటుంది	antundi	0.667
అంటుకుంటుంది	antukuntundhi	0.333
అంటుకుంటుంది	antukuntundi	0.667
అంటున్నారు	antunnaaru	0.667
అంటున్నారు	antunnaru	0.333
అంటురోగాలు	aamturoogaalu	0.2
అంటురోగాలు	aanturoogalu	0.2
అంటురోగాలు	anturogaalu	0.4
అంటురోగాలు	anturogalu	0.2
అంటూ	antoo	0.2
అంటూ	antu	0.6
అంటూ	antuu	0.2
అంటె	amtey	0.5
అంటె	ante	0.25
అంటె	antey	0.25
అంటే	amtaay	0.2
అంటే	amtay	0.4
అంటే	amteyy	0.2
అంటే	ante	0.2
అంటోని	antony	1.0
అండ	anda	1.0
అండగా	amdaga	0.25
అండగా	andaga	0.25
అండగా	andagaa	0.5
అండతో	andatho	0.333
అండతో	andathoo	0.333
అండతో	andato	0.333
అండదండలు	andadamdalu	0.25
అండదండలు	andadandalu	0.25
అండదండలు	andadhandalu	0.5
అండమాన్	aandaamaan	0.167
అండమాన్	andamaan	0.333
అండమాన్	andaman	0.5
అండర్సన్	andarsan	0.2
అండర్సన్	andarsen	0.2
అండర్సన్	andersen	0.2
అండర్సన్	anderson	0.4
అండాల	andaala	1.0
అంతః	antah	0.667
అంతః	anthah	0.333
అంతఃపుర	antahpura	0.667
అంతఃపుర	anthahpura	0.333
అంతఃపురంలో	antahpuramlo	0.333
అంతఃపురంలో	anthahpuramlo	0.333
అంతఃపురంలో	anthapuramlo	0.333
అంతకంటే	antakante	0.25
అంతకంటే	anthakantae	0.25
అంతకంటే	anthakantey	0.25
అంతకంటే	antkantee	0.25
అంతకన్నా	anthakanna	0.333
అంతకన్నా	anthakannaa	0.667
అంతకు	anthaku	1.0
అంతకుమించి	anthakuminchi	1.0
అంతకుముందు	antakumundu	0.75
అంతకుముందు	anthakumundu	0.25
అంతట	amtata	0.333
అంతట	antata	0.333
అంతట	anthata	0.333
అంతటా	amtataa	0.333
అంతటా	antata	0.333
అంతటా	anthataa	0.333
అంతటి	amtati	0.333
అంతటి	anthati	0.667
అంతటికీ	antatikee	0.333
అంతటికీ	anthatikee	0.333
అంతటికీ	anthatikii	0.333
అంతటితో	antatitoo	0.333
అంతటితో	anthatitho	0.333
అంతటితో	anthatithoo	0.333
అంతయు	antayu	0.75
అంతయు	anthayu	0.25
అంతరం	antaram	0.25
అంతరం	antharam	0.75
అంతరంగ	antaranga	0.25
అంతరంగ	antharanga	0.5
అంతరంగ	antharangam	0.25
అంతరంగాన్ని	antarangaanni	0.5
అంతరంగాన్ని	antaranganni	0.25
అంతరంగాన్ని	antharangaanni	0.25
అంతరాత్మ	antaraatma	0.25
అంతరాత్మ	antaratma	0.25
అంతరాత్మ	antharaathma	0.25
అంతరాత్మ	antharaatma	0.25
అంతరాయం	antaraayam	0.25
అంతరాయం	antarayam	0.25
అంతరాయం	antharaayam	0.5
అంతరాయాలు	antarayalu	0.333
అంతరాయాలు	antharaayaalu	0.333
అంతరాయాలు	antharayalu	0.333
అంతరాలయం	antaraalayam	0.333
అంతరాలయం	antaralayam	0.333
అంతరాలయం	antharaalayam	0.333
అంతరించి	antarinchi	0.333
అంతరించి	antharinchi	0.667
అంతరించిపోతున్న	antarinchipothunna	0.2
అంతరించిపోతున్న	antarinchipotunna	0.2
అంతరించిపోతున్న	antharinchipothunna	0.4
అంతరించిపోతున్న	atharinchipothunna	0.2
అంతరించిపోతున్నాయి	antarinchipothunnaayi	0.167
అంతరించిపోతున్నాయి	antarinchipothunnayi	0.167
అంతరించిపోతున్నాయి	antharinchipothunnaayi	0.167
అంతరించిపోతున్నాయి	antharinchipothunnayi	0.167
అంతరించిపోతున్నాయి	antharinchipotunnai	0.167
అంతరించిపోతున్నాయి	anthrarinchipothunnayi	0.167
అంతరించే	antarinche	0.333
అంతరించే	antharinche	0.667
అంతరిక్ష	amtariksha	0.333
అంతరిక్ష	anthariksha	0.667
అంతరిక్షంలో	antarikshamlo	0.25
అంతరిక్షంలో	antarikshamloo	0.25
అంతరిక్షంలో	antharikshamlo	0.25
అంతరిక్షంలో	antharikshamloo	0.25
అంతర్గత	amtargata	0.333
అంతర్గత	antargata	0.333
అంతర్గత	anthargatha	0.333
అంతర్గతంగా	amtargatamgaa	0.333
అంతర్గతంగా	antargathamgaa	0.333
అంతర్గతంగా	anthargathangaa	0.333
అంతర్జాతీయ	amtarjaatiiya	0.333
అంతర్జాతీయ	antarjatiya	0.333
అంతర్జాతీయ	antharjaatheeya	0.333
అంతర్జాతీయంగా	amtarjaatiiyamgaa	0.333
అంతర్జాతీయంగా	antarjaateeyangaa	0.333
అంతర్జాతీయంగా	antharjaatiyangaa	0.333
అంతర్జాల	amtarjaala	0.333
అంతర్జాల	anthajraala	0.333
అంతర్జాల	antharjala	0.333
అంతర్జాలంలో	antarjalamlo	0.667
అంతర్జాలంలో	antharjalamlo	0.333
అంతర్భాగం	antarbhaagam	0.333
అంతర్భాగం	antarbhagam	0.333
అంతర్భాగం	antharbhagam	0.333
అంతర్భాగంలో	antarbhaagamlo	0.25
అంతర్భాగంలో	antarbhaagamloo	0.25
అంతర్భాగంలో	antharbhaagamlo	0.5
అంతర్ముఖం	amtarmukham	0.333
అంతర్ముఖం	anthakmukham	0.333
అంతర్ముఖం	antharmkham	0.333
అంతర్యుద్ధం	amtaryuddham	0.333
అంతర్యుద్ధం	anataryuddham	0.333
అంతర్యుద్ధం	antaryuddham	0.333
అంతర్లీన	amtarliina	0.333
అంతర్లీన	antharlena	0.333
అంతర్లీన	antharliina	0.333
అంతవరకు	amtavaraku	0.333
అంతవరకు	anthavaraku	0.667
అంతస్తు	amtastu	0.333
అంతస్తు	antastu	0.333
అంతస్తు	anthastu	0.333
